l	10t
-35.00	.201
-34.50	.203
-34.00	.220
-33.50	.234
-33.00	.253
-32.50	.269
-32.00	.287
-31.50	.303
-31.00	.320
-30.50	.338
-30.00	.358
-29.50	.374
-29.00	.395
-28.50	.410
-28.00	.428
-27.50	.448
-27.00	.464
-26.50	.486
-26.00	.504
-25.50	.525
-25.00	.544
-24.50	.566
-24.00	.587
-23.50	.606
-23.00	.629
-22.50	.652
-22.00	.674
-21.50	.694
-21.00	.716
-20.50	.740
-20.00	.764
-19.50	.786
-19.00	.810
-18.50	.832
-18.00	.858
-17.50	.881
-17.00	.906
-16.50	.930
-16.00	.954
-15.50	.979
-15.00	1.003
-14.50	1.027
-14.00	1.050
-13.50	1.073
-13.00	1.096
-12.50	1.119
-12.00	1.142
-11.50	1.163
-11.00	1.184
-10.50	1.207
-10.00	1.226
-9.50	1.247
-9.00	1.264
-8.50	1.283
-8.00	1.299
-7.50	1.316
-7.00	1.330
-6.50	1.344
-6.00	1.358
-5.50	1.370
-5.00	1.381
-4.50	1.391
-4.00	1.401
-3.50	1.409
-3.00	1.416
-2.50	1.422
-2.00	1.425
-1.50	1.429
-1.00	1.432
-0.50	1.433
0.00	1.433
0.50	1.432
1.00	1.431
1.50	1.427
2.00	1.423
2.50	1.416
3.00	1.410
3.50	1.402
4.00	1.391
4.50	1.382
5.00	1.371
5.50	1.359
6.00	1.347
6.50	1.330
7.00	1.317
7.50	1.300
8.00	1.282
8.50	1.265
9.00	1.245
9.50	1.226
10.00	1.206
10.50	1.186
11.00	1.164
11.50	1.141
12.00	1.119
12.50	1.095
13.00	1.073
13.50	1.047
14.00	1.023
14.50	1.001
15.00	.974
15.50	.950
16.00	.925
16.50	.901
17.00	.878
17.50	.853
18.00	.832
18.50	.804
19.00	.781
19.50	.756
20.00	.733
20.50	.711
21.00	.689
21.50	.666
22.00	.644
22.50	.623
23.00	.603
23.50	.581
24.00	.561
24.50	.540
25.00	.520
25.50	.501
26.00	.484
26.50	.463
27.00	.445
27.50	.448
28.00	.410
28.50	.395
29.00	.379
29.50	.363
30.00	.346
30.50	.332
31.00	.314
31.50	.299
32.00	.284
32.50	.269
33.00	.252
33.50	.238
34.00	.222
34.50	.198
35.00	.180
35.50	.181